wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,session,date,expName,psychopyVersion,OS,frameRate
6,2,Aa-N5.png,N5.mp3,580.5915,5,Ab-N4.png,"2,5,6,0",5,1,5,1111111,633.569,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,660.8405,mouse_continue,27.2765,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,660.8445,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,693.6098,mouse_continue,32.7658,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,693.6128,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,729.4143,mouse_continue,35.8023,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,729.417,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,742.1327,mouse_continue,12.7162,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,742.1356,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,760.3662,mouse_continue,18.2307,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,760.3699,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,797.1009,mouse_continue,36.7318,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,797.1049,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,816.8452,mouse_continue,19.741,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,816.8482,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,842.2772,mouse_continue,25.4291,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,842.2805,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,863.2342,mouse_continue,20.9546,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
,,,,,,,,,,,,863.2372,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,890.3795,mouse_continue,27.1433,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,ALP1205,1,2026-05-21_13h37.58.258,BrocantoHPilot1MorphSession1,2025.2.4,Win32,120.4819277
