wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,session,date,expName,psychopyVersion,OS,frameRate
0,2,Aa-1.png,Aa.mp3,968.1716,6,N5.png,"6,3,4,0",6,1,5,1111111,982.6576,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,991.5645,mouse_continue,8.9127,,0,0,0,0,1,1,SBJ-N3-REVEAL-INTR.mp4,SBJ-N3-REVEAL-INTR.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,991.565,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,997.7643,mouse_continue,6.1993,,0,1,1,1,1,1,OBJ-N5-SBJ-N4-PUSH-TR.mp4,SBJ-N4-OBJ-N5-PUSH-TR.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,997.7655,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,1005.1642,mouse_continue,7.3988,,0,2,2,2,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,1005.1653,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,1011.9138,mouse_continue,6.7486,,0,3,3,3,1,1,SBJ-N1-HIDE-INTR.mp4,HIDE-INTR-SBJ-N1.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,1011.9147,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,1018.5958,mouse_continue,6.6813,,0,4,4,4,1,1,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-REVEAL-INTR.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,1018.5964,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,1025.2966,mouse_continue,6.7002,,0,5,5,5,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,1025.2973,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,1031.1466,mouse_continue,5.8492,,0,6,6,6,1,1,SBJ-N2-GO-INTR.mp4,GO-INTR-SBJ-N2.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,1031.1477,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,1046.3627,mouse_continue,15.2152,,0,7,7,7,1,1,OBJ-N5-SBJ-N1-PUSH-TR.mp4,SBJ-N1-OBJ-N5-PUSH-TR.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,1046.3667,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,1052.2623,mouse_continue,5.8962,,0,8,8,8,1,1,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-JUMP-INTR.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
,,,,,,,,,,,,1052.2631,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,1058.1286,mouse_continue,5.8658,,0,9,9,9,1,1,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,ALP1207,001,2026-05-20_19h16.47.064,BrocantoHPilot1MorphSession1,2025.2.4,MacIntel,60.24096386
