wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.response,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form,familiarityTrial.started,familiarity.testName,familiarity.thisN,familiarity.sessionIndex,familiarity.audio,familiarity.previous_encounters,familiarity.playAttemptTime,familiarity.rating,familiarity.playClickCount,familiarity.t_audioEnd,familiarity.t_lastLikertClick,familiarityTrial.stopped,chunkTest_s1.thisRepN,chunkTest_s1.thisTrialN,chunkTest_s1.thisN,chunkTest_s1.thisIndex,chunkTest_s1.ran,audio,previous_encounters,GJTest_s1.thisRepN,GJTest_s1.thisTrialN,GJTest_s1.thisN,GJTest_s1.thisIndex,GJTest_s1.ran,passiveTrials_s2.thisRepN,passiveTrials_s2.thisTrialN,passiveTrials_s2.thisN,passiveTrials_s2.thisIndex,passiveTrials_s2.ran,comprehensionTrials_s2.thisRepN,comprehensionTrials_s2.thisTrialN,comprehensionTrials_s2.thisN,comprehensionTrials_s2.thisIndex,comprehensionTrials_s2.ran,productionTrials_s2.thisRepN,productionTrials_s2.thisTrialN,productionTrials_s2.thisN,productionTrials_s2.thisIndex,productionTrials_s2.ran,productionTrials_s2.order
0,2,Aa-2.png,Aa.mp3,186.583,2,N1.png,"0,3,2,5",2,1,5,1111111,199.605,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,205.748,mouse_continue,6.144,,0,0,0,0,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,205.766,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,212.418,mouse_continue,6.652,,0,1,1,1,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,212.42,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,217.805,mouse_continue,5.385,,0,2,2,2,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,217.806,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,223.813,mouse_continue,6.006,,0,3,3,3,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,223.814,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,229.807,mouse_continue,5.992,,0,4,4,4,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,229.808,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,235.275,mouse_continue,5.468,,0,5,5,5,1,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,235.277,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,241.646,mouse_continue,6.368,,0,6,6,6,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,241.648,1,SBJ-N3-JUMP-INTR.mp4,JUMP-INTR-SBJ-N3.mp3,247.021,mouse_continue,5.372,,0,7,7,7,1,1,SBJ-N3-JUMP-INTR.mp4,JUMP-INTR-SBJ-N3.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,247.022,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,252.763,mouse_continue,5.741,,0,8,8,8,1,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,252.766,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,258.341,mouse_continue,5.575,,0,9,9,9,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,ALP1202,1995.07.15,2026-05-09_11h29.23.423,BrocantoHPilot1MorphSession2,2025.2.4,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
