wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.response,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form
1,2,Ab-1.png,Ab.mp3,192.0078,2,Aa-N1.png,"2,1,0,5",2,1,5,1111111,198.8277,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,204.6036,mouse_continue,5.7793,,0,0,0,0,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,204.6044,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,213.0715,mouse_continue,8.467,,0,1,1,1,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,213.0728,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,219.5883,mouse_continue,6.5155,,0,2,2,2,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,219.5894,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,226.2381,mouse_continue,6.6487,,0,3,3,3,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,226.2387,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,232.2379,mouse_continue,5.9992,,0,4,4,4,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,232.2385,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,238.0051,mouse_continue,5.7665,,0,5,5,5,1,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,238.0065,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,244.6051,mouse_continue,6.5987,,0,6,6,6,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,244.6065,1,SBJ-N3-JUMP-INTR.mp4,JUMP-INTR-SBJ-N3.mp3,250.5717,mouse_continue,5.9656,,0,7,7,7,1,1,SBJ-N3-JUMP-INTR.mp4,JUMP-INTR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,250.5729,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,256.9372,mouse_continue,6.3646,,0,8,8,8,1,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,256.9376,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,262.6216,mouse_continue,5.6839,,0,9,9,9,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ-N4-HIDE-TR-OBJ-N5.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,262.6225,1,SBJ-N3-JUMP-INTR.mp4,JUMP-INTR-SBJ-N3.mp3,268.655,mouse_continue,6.0325,,0,10,10,10,1,1,SBJ-N3-JUMP-INTR.mp4,JUMP-INTR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,268.6568,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,274.872,mouse_continue,6.2155,,0,11,11,11,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,274.8732,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,281.2048,mouse_continue,6.332,,0,12,12,12,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-HIDE-TR-SBJ-N1.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,281.2054,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,288.2216,mouse_continue,7.0164,,0,13,13,13,1,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,288.2221,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,294.7056,mouse_continue,6.4832,,0,14,14,14,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,SBJ-N2-OBJ-N5-PUSH-TR.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,294.707,1,SBJ-N3-GO-INTR.mp4,GO-INTR-SBJ-N3.mp3,300.4056,mouse_continue,5.6987,,0,15,15,15,1,1,SBJ-N3-GO-INTR.mp4,GO-INTR-SBJ-N3.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,300.4067,1,SBJ-N4-REVEAL-INTR.mp4,REVEAL-INTR-SBJ-N4.mp3,306.0708,mouse_continue,5.6643,,0,16,16,16,1,1,SBJ-N4-REVEAL-INTR.mp4,REVEAL-INTR-SBJ-N4.mp3,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
