wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,production.response,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form,familiarityTrial.started,familiarity.testName,familiarity.thisN,familiarity.sessionIndex,familiarity.audio,familiarity.previous_encounters,familiarity.playAttemptTime,familiarity.rating,familiarity.playClickCount,familiarity.t_audioEnd,familiarity.t_lastLikertClick,familiarityTrial.stopped,chunkTest_s1.thisRepN,chunkTest_s1.thisTrialN,chunkTest_s1.thisN,chunkTest_s1.thisIndex,chunkTest_s1.ran,audio,previous_encounters,GJTest_s1.thisRepN,GJTest_s1.thisTrialN,GJTest_s1.thisN,GJTest_s1.thisIndex,GJTest_s1.ran,passiveTrials_s2.thisRepN,passiveTrials_s2.thisTrialN,passiveTrials_s2.thisN,passiveTrials_s2.thisIndex,passiveTrials_s2.ran
2,2,Ab-N1.png,N1.mp3,982.611,6,N5.png,"5,1,6,2",6,1,5,1111111,1002.548,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,1009.621,mouse_continue,7.074,,0,0,0,0,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1009.627,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,1018.221,mouse_continue,8.592,,0,1,1,1,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1018.226,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,1024.619,mouse_continue,6.39,,0,2,2,2,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1024.624,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,1030.581,mouse_continue,5.959,,0,3,3,3,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1030.587,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,1038.295,mouse_continue,7.71,,0,4,4,4,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1038.302,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,1044.443,mouse_continue,6.143,,0,5,5,5,1,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1044.451,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,1057.659,mouse_continue,13.207,,0,6,6,6,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1057.663,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,1064.824,mouse_continue,7.159,,0,7,7,7,1,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1064.828,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,1071.35,mouse_continue,6.522,,0,8,8,8,1,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1071.358,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,1077.815,mouse_continue,6.458,,0,9,9,9,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1077.82,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,1085.499,mouse_continue,7.677,,0,10,10,10,1,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1085.504,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,1092.33,mouse_continue,6.824,,0,11,11,11,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1092.335,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,1098.709,mouse_continue,6.375,,0,12,12,12,1,1,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N5-SBJ-N1-HIDE-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1098.715,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,1105.456,mouse_continue,6.744,,0,13,13,13,1,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1105.46,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,1117.455,mouse_continue,11.992,,0,14,14,14,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1117.459,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,1125.116,mouse_continue,7.657,,0,15,15,15,1,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1125.121,1,SBJ-N4-REVEAL-INTR.mp4,SBJ-N4-REVEAL-INTR.mp3,1131.814,mouse_continue,6.693,,0,16,16,16,1,1,SBJ-N4-REVEAL-INTR.mp4,SBJ-N4-REVEAL-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1131.819,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,1138.711,mouse_continue,6.894,,0,17,17,17,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1138.715,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,1144.893,mouse_continue,6.178,,0,18,18,18,1,1,SBJ-N5-JUMP-INTR.mp4,SBJ-N5-JUMP-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1144.897,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,1156.989,mouse_continue,12.092,,0,19,19,19,1,1,SBJ-N3-GO-INTR.mp4,SBJ-N3-GO-INTR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1156.995,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,1163.437,mouse_continue,6.441,,0,20,20,20,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1163.444,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,1170.866,mouse_continue,7.424,,0,21,21,21,1,1,OBJ-N5-SBJ-N1-REVEAL-TR.mp4,OBJ-N5-SBJ-N1-REVEAL-TR.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1170.872,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp3,1184.716,mouse_continue,13.84,,0,22,22,22,1,1,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1184.72,1,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,SBJ-N4-REVEAL-INTR-LOC-N5.mp3,1191.976,mouse_continue,7.256,,0,23,23,23,1,1,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,SBJ-N4-REVEAL-INTR-LOC-N5.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1191.982,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp3,1199.424,mouse_continue,7.442,,0,24,24,24,1,1,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1199.431,1,SBJ-N2-REVEAL-INTR-LOC-N5.mp4,SBJ-N2-REVEAL-INTR-LOC-N5.mp3,1209.754,mouse_continue,10.324,,0,25,25,25,1,1,SBJ-N2-REVEAL-INTR-LOC-N5.mp4,SBJ-N2-REVEAL-INTR-LOC-N5.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1209.758,1,OBJ-N5-SBJ-N1-PUSH-TR-LOC-N2.mp4,OBJ-N5-SBJ-N1-PUSH-TR-LOC-N2.mp3,1217.919,mouse_continue,8.16,,0,26,26,26,1,1,OBJ-N5-SBJ-N1-PUSH-TR-LOC-N2.mp4,OBJ-N5-SBJ-N1-PUSH-TR-LOC-N2.mp3,140524,,2026-05-07_15h04.57.242,BrocantoHPilot1WOSession2,2025.2.4,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
