wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect
5,2,Ab-N4.png,N4.mp3,161.8096,0,Aa-1.png,"5,6,2,0",0,1,5,1111111,166.7111,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,172.3051,mouse_continue,5.5964,,0,0,0,0,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,172.306,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,177.7893,mouse_continue,5.4835,,0,1,1,1,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,177.7899,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,183.1896,mouse_continue,5.3996,,0,2,2,2,1,1,OBJ-N5-SBJ-N2-PUSH-TR.mp4,OBJ-N5-SBJ-N2-PUSH-TR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,183.1905,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,188.5227,mouse_continue,5.3324,,0,3,3,3,1,1,SBJ-N1-GO-INTR.mp4,SBJ-N1-GO-INTR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,188.5236,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,194.1728,mouse_continue,5.6492,,0,4,4,4,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,194.1733,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,199.5061,mouse_continue,5.3328,,0,5,5,5,1,1,SBJ-N2-HIDE-INTR.mp4,SBJ-N2-HIDE-INTR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,199.5071,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,204.8562,mouse_continue,5.3491,,0,6,6,6,1,1,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,OBJ-N5-SBJ-N3-REVEAL-TR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,204.8569,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,210.2227,mouse_continue,5.3658,,0,7,7,7,1,1,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-JUMP-INTR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,210.2236,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,215.5896,mouse_continue,5.366,,0,8,8,8,1,1,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-REVEAL-INTR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,215.5905,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,220.9729,mouse_continue,5.3824,,0,9,9,9,1,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N5-SBJ-N4-HIDE-TR.mp3,ALP1124,1999.08.19,2026-05-07_22h07.07.256,BrocantoHPilot1WOSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,
