participant_row,n_trials_s1,pct_session_1,n_trials_s2,pct_session_2,n_trials_s3,pct_session_3,hours_between_s1_s2,hours_between_s2_s3
(no ALP ID; birth 1961-02-18),42,100,126,38,0,0,0.4325786111089918,
(no ALP ID; birth 1963-07-02),42,100,0,0,0,0,,
(no ALP ID; birth 1964-11-05),42,100,332,100,0,0,68.22039166662428,
(no ALP ID; birth 1971-10-18),42,100,0,0,0,0,,
(no ALP ID; birth 2001-04-20),42,100,332,100,0,0,41.627095833354524,
ALP1102,42,100,332,100,0,0,45.15548638886876,
ALP1103,42,100,332,100,0,0,23.50917555557357,
ALP1104,42,100,0,0,0,0,,
ALP1105,42,100,292,88,0,0,23.520343055592644,
ALP1109,42,100,332,100,332,100,0.21271027776930068,3.7884063888920676
ALP1111,42,100,332,100,0,0,27.441405277782017,
ALP1116,42,100,0,0,0,0,,
