trial_id_global,session,subtask,sentence,encounter_count
1,1,passive,SBJ.N3 REVEAL-INTR,0
2,1,passive,OBJ.N5 SBJ.N4 PUSH-TR,0
3,1,passive,OBJ.N5 SBJ.N1 HIDE-TR,0
4,1,passive,SBJ.N1 HIDE-INTR,0
5,1,passive,SBJ.N2 REVEAL-INTR,0
6,1,passive,OBJ.N5 SBJ.N3 REVEAL-TR,0
7,1,passive,SBJ.N2 GO-INTR,0
8,1,passive,OBJ.N5 SBJ.N1 PUSH-TR,0
9,1,passive,SBJ.N1 JUMP-INTR,0
10,1,passive,OBJ.N5 SBJ.N2 REVEAL-TR,0
11,1,passive,OBJ.N5 SBJ.N2 HIDE-TR,0
12,1,passive,SBJ.N2 JUMP-INTR,0
13,1,passive,SBJ.N5 HIDE-INTR,0
14,1,passive,OBJ.N5 SBJ.N3 REVEAL-TR,1
15,1,passive,SBJ.N2 GO-INTR,1
16,1,passive,OBJ.N5 SBJ.N2 PUSH-TR,0
17,1,passive,SBJ.N5 REVEAL-INTR,0
18,1,passive,OBJ.N5 SBJ.N4 HIDE-TR,0
19,1,passive,SBJ.N2 GO-INTR,2
20,1,passive,SBJ.N1 REVEAL-INTR,0
21,1,passive,OBJ.N5 SBJ.N1 REVEAL-TR,0
22,1,passive,OBJ.N5 SBJ.N1 REVEAL-TR,1
23,1,passive,OBJ.N5 SBJ.N2 PUSH-TR LOC.N1,0
24,1,passive,SBJ.N4 REVEAL-INTR LOC.N3,0
25,1,passive,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,0
26,1,passive,SBJ.N4 REVEAL-INTR LOC.N3,1
27,1,passive,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1,0
28,1,passive,SBJ.N5 REVEAL-INTR LOC.N3,0
29,1,passive,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4,0
30,1,passive,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2,0
31,1,passive,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,0
32,1,passive,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1,0
33,1,passive,Ab SBJ.N2 JUMP-INTR,0
34,1,passive,OBJ.N5 Ab SBJ.N4 REVEAL-TR,0
35,1,passive,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1,0
36,1,passive,Ab SBJ.N4 HIDE-INTR,0
37,1,passive,SBJ.N4 HIDE-INTR LOC.N1,0
38,1,passive,SBJ.N5 JUMP-INTR LOC.N2,0
39,1,passive,SBJ.N5 GO-INTR LOC.N4,0
40,1,passive,SBJ.N3 HIDE-INTR LOC.N4,0
41,1,passive,SBJ.N5 JUMP-INTR LOC.N4,0
42,1,passive,OBJ.N5 Ab SBJ.N1 PUSH-TR,0
43,2,passive,SBJ.N1 GO-INTR,0
44,2,passive,OBJ.N5 SBJ.N3 REVEAL-TR,2
45,2,passive,OBJ.N5 SBJ.N2 PUSH-TR,1
46,2,passive,SBJ.N1 GO-INTR,1
47,2,passive,OBJ.N5 SBJ.N4 HIDE-TR,1
48,2,passive,SBJ.N2 HIDE-INTR,0
49,2,passive,OBJ.N5 SBJ.N3 REVEAL-TR,3
50,2,passive,SBJ.N3 JUMP-INTR,0
51,2,passive,SBJ.N5 REVEAL-INTR,1
52,2,passive,OBJ.N5 SBJ.N4 HIDE-TR,2
53,2,passive,SBJ.N3 JUMP-INTR,1
54,2,passive,OBJ.N5 SBJ.N2 PUSH-TR,2
55,2,passive,OBJ.N5 SBJ.N1 HIDE-TR,1
56,2,passive,SBJ.N2 HIDE-INTR,1
57,2,passive,OBJ.N5 SBJ.N2 PUSH-TR,3
58,2,passive,SBJ.N3 GO-INTR,0
59,2,passive,SBJ.N4 REVEAL-INTR,0
60,2,passive,OBJ.N5 SBJ.N3 REVEAL-TR,4
61,2,passive,SBJ.N5 JUMP-INTR,0
62,2,passive,SBJ.N3 GO-INTR,1
63,2,passive,OBJ.N5 SBJ.N3 REVEAL-TR,5
64,2,passive,OBJ.N5 SBJ.N1 REVEAL-TR,2
65,2,passive,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,0
66,2,passive,SBJ.N4 REVEAL-INTR LOC.N5,0
67,2,passive,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,1
68,2,passive,SBJ.N2 REVEAL-INTR LOC.N5,0
69,2,passive,OBJ.N5 SBJ.N1 PUSH-TR LOC.N2,0
70,2,passive,SBJ.N3 REVEAL-INTR LOC.N4,0
71,2,passive,OBJ.N5 SBJ.N4 HIDE-TR LOC.N3,0
72,2,passive,OBJ.N5 SBJ.N3 REVEAL-TR LOC.N4,0
73,2,passive,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,1
74,2,passive,OBJ.N5 SBJ.N1 REVEAL-TR,3
75,2,passive,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2,0
76,2,passive,SBJ.N5 JUMP-INTR,1
77,2,passive,Aa SBJ.N5 HIDE-INTR,0
78,2,passive,SBJ.N5 GO-INTR LOC.N3,0
79,2,passive,SBJ.N2 JUMP-INTR LOC.N1,0
80,2,passive,SBJ.N3 GO-INTR LOC.N2,0
81,2,passive,SBJ.N5 HIDE-INTR LOC.N3,0
82,2,passive,SBJ.N1 HIDE-INTR LOC.N3,0
83,2,passive,OBJ.N5 SBJ.N4 HIDE-TR,3
84,2,passive,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,2
85,2,comprehension,OBJ.N5 SBJ.N2 HIDE-TR,1
86,2,comprehension,SBJ.N5 HIDE-INTR,1
87,2,comprehension,SBJ.N5 JUMP-INTR,2
88,2,comprehension,OBJ.N5 SBJ.N3 REVEAL-TR,6
89,2,comprehension,OBJ.N5 SBJ.N3 PUSH-TR,0
90,2,comprehension,SBJ.N1 HIDE-INTR,1
91,2,comprehension,OBJ.N5 SBJ.N4 HIDE-TR,4
92,2,comprehension,SBJ.N2 REVEAL-INTR,1
93,2,comprehension,OBJ.N5 SBJ.N4 PUSH-TR,1
94,2,comprehension,SBJ.N1 GO-INTR,2
95,2,comprehension,SBJ.N4 REVEAL-INTR,1
96,2,comprehension,OBJ.N5 SBJ.N4 REVEAL-TR,0
97,2,comprehension,SBJ.N3 JUMP-INTR,2
98,2,comprehension,OBJ.N5 SBJ.N4 PUSH-TR,2
99,2,comprehension,OBJ.N5 SBJ.N4 REVEAL-TR,1
100,2,comprehension,SBJ.N5 GO-INTR,0
101,2,comprehension,SBJ.N1 HIDE-INTR,2
102,2,comprehension,OBJ.N5 SBJ.N3 HIDE-TR,0
103,2,comprehension,SBJ.N5 REVEAL-INTR,2
104,2,comprehension,SBJ.N5 GO-INTR,1
105,2,comprehension,OBJ.N5 SBJ.N1 HIDE-TR,2
106,2,comprehension,OBJ.N5 SBJ.N4 REVEAL-TR,2
107,2,comprehension,SBJ.N2 REVEAL-INTR LOC.N4,0
108,2,comprehension,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2,1
109,2,comprehension,OBJ.N5 SBJ.N4 HIDE-TR LOC.N2,1
110,2,comprehension,SBJ.N2 REVEAL-INTR LOC.N4,1
111,2,comprehension,SBJ.N5 REVEAL-INTR LOC.N4,0
112,2,comprehension,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1,1
113,2,comprehension,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,3
114,2,comprehension,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,2
115,2,comprehension,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N3,0
116,2,comprehension,SBJ.N3 GO-INTR,2
117,2,comprehension,OBJ.N5 SBJ.N3 PUSH-TR LOC.N4,0
118,2,comprehension,OBJ.N5 Ab SBJ.N1 HIDE-TR,0
119,2,comprehension,SBJ.N1 JUMP-INTR,1
120,2,comprehension,SBJ.N2 HIDE-INTR LOC.N3,0
121,2,comprehension,SBJ.N4 HIDE-INTR LOC.N5,0
122,2,comprehension,SBJ.N5 GO-INTR LOC.N4,1
123,2,comprehension,SBJ.N3 JUMP-INTR LOC.N2,0
124,2,comprehension,SBJ.N4 JUMP-INTR LOC.N1,0
125,2,comprehension,Ab OBJ.N5 SBJ.N2 HIDE-TR,0
126,2,comprehension,OBJ.N5 SBJ.N3 REVEAL-TR LOC.N4,1
127,2,production,OBJ.N5 SBJ.N4 HIDE-TR,5
128,2,production,SBJ.N3 JUMP-INTR,3
129,2,production,SBJ.N4 GO-INTR,0
130,2,production,OBJ.N5 SBJ.N4 PUSH-TR,3
131,2,production,OBJ.N5 SBJ.N3 REVEAL-TR,7
132,2,production,SBJ.N4 HIDE-INTR,0
133,2,production,OBJ.N5 SBJ.N4 PUSH-TR,4
134,2,production,SBJ.N3 REVEAL-INTR,1
135,2,production,OBJ.N5 SBJ.N4 REVEAL-TR,3
136,2,production,SBJ.N3 JUMP-INTR,4
137,2,production,OBJ.N5 SBJ.N4 HIDE-TR,6
138,2,production,SBJ.N2 REVEAL-INTR,2
139,2,production,OBJ.N5 SBJ.N4 HIDE-TR,7
140,2,production,SBJ.N1 GO-INTR,3
141,2,production,OBJ.N5 SBJ.N3 REVEAL-TR,8
142,2,production,SBJ.N3 JUMP-INTR,5
143,2,production,SBJ.N4 HIDE-INTR,1
144,2,production,OBJ.N5 SBJ.N2 PUSH-TR,4
145,2,production,SBJ.N5 REVEAL-INTR,3
146,2,production,SBJ.N3 HIDE-INTR,0
147,2,production,OBJ.N5 SBJ.N2 PUSH-TR,5
148,2,production,OBJ.N5 SBJ.N1 PUSH-TR,1
149,2,production,OBJ.N5 SBJ.N2 HIDE-TR LOC.N3,0
150,2,production,SBJ.N4 REVEAL-INTR LOC.N3,2
151,2,production,SBJ.N4 REVEAL-INTR LOC.N3,3
152,2,production,OBJ.N5 SBJ.N1 PUSH-TR LOC.N2,1
153,2,production,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N3,1
154,2,production,SBJ.N1 REVEAL-INTR LOC.N5,0
155,2,production,OBJ.N5 SBJ.N2 PUSH-TR LOC.N3,0
156,2,production,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2,4
157,2,production,OBJ.N5 SBJ.N2 PUSH-TR LOC.N4,3
158,2,production,OBJ.N5 SBJ.N3 REVEAL-TR,9
159,2,production,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4,1
160,2,production,Aa SBJ.N5 JUMP-INTR,0
161,2,production,SBJ.N3 HIDE-INTR,1
162,2,production,SBJ.N3 GO-INTR LOC.N2,1
163,2,production,SBJ.N1 HIDE-INTR LOC.N5,0
164,2,production,SBJ.N1 JUMP-INTR LOC.N5,0
165,2,production,SBJ.N5 GO-INTR LOC.N3,1
166,2,production,SBJ.N5 HIDE-INTR LOC.N2,0
167,2,production,OBJ.N5 SBJ.N3 HIDE-TR LOC.N2,0
168,2,production,Ab OBJ.N5 SBJ.N2 HIDE-TR,1
209,2,passive,OBJ.N5 SBJ.N4 PUSH-TR LOC.N1,0
210,2,passive,SBJ.N3 REVEAL-INTR LOC.N2,0
211,2,passive,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1,2
212,2,passive,SBJ.N5 REVEAL-INTR LOC.N3,1
213,2,passive,Ab SBJ.N1 GO-INTR,0
214,2,passive,Ab OBJ.N5 SBJ.N2 HIDE-TR,2
215,2,passive,Ab SBJ.N3 HIDE-INTR,0
216,2,passive,OBJ.N5 SBJ.N4 PUSH-TR LOC.N1,1
217,2,passive,OBJ.N5 SBJ.N4 REVEAL-TR,4
218,2,passive,SBJ.N5 REVEAL-INTR LOC.N4,1
219,2,passive,SBJ.N5 GO-INTR,2
220,2,passive,OBJ.N5 SBJ.N3 HIDE-TR,1
221,2,passive,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1,1
222,2,passive,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1,1
223,2,passive,OBJ.N5 Ab SBJ.N2 REVEAL-TR,0
224,2,passive,SBJ.N4 JUMP-INTR,0
225,2,passive,Ab SBJ.N4 JUMP-INTR,0
226,2,passive,SBJ.N4 GO-INTR LOC.N1,0
