trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_morph,sentence_form,sentence_frame,foil_sentence,foil_sentence_morph,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,held_out_probe_instance_morph,distractor_words,all_words,previous_encounters,trial_type,audio_1,audio_2,video_1,video_2
1,passive,1,1,1,target,SBJ.N3 REVEAL-INTR,SBJ.N3 REVEAL-INTR,pif-zilép girda,SBJ-V.INTR,,,,,,,,,,,,,,passive,SBJ-N3-REVEAL-INTR.mp3,,SBJ-N3-REVEAL-INTR.mp4,,
2,passive,1,1,2,target,OBJ.N5 SBJ.N4 PUSH-TR,SBJ.N4 OBJ.N5 PUSH-TR,pif-dabi fer-timó vánta,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,SBJ-N4-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N4-PUSH-TR.mp4,,
3,passive,1,1,3,target,OBJ.N5 SBJ.N1 HIDE-TR,OBJ.N5 HIDE-TR SBJ.N1,fer-timó zsübe pif-pekli,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,OBJ-N5-HIDE-TR-SBJ-N1.mp3,,OBJ-N5-SBJ-N1-HIDE-TR.mp4,,
4,passive,1,1,4,target,SBJ.N1 HIDE-INTR,HIDE-INTR SBJ.N1,zsübe pif-pekli,SBJ-V.INTR,,,,,,,,,,,,,,passive,HIDE-INTR-SBJ-N1.mp3,,SBJ-N1-HIDE-INTR.mp4,,
5,passive,1,1,5,target,SBJ.N2 REVEAL-INTR,SBJ.N2 REVEAL-INTR,pif-murak girda,SBJ-V.INTR,,,,,,,,,,,,,,passive,SBJ-N2-REVEAL-INTR.mp3,,SBJ-N2-REVEAL-INTR.mp4,,
6,passive,1,1,6,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ.N5 REVEAL-TR SBJ.N3,fer-timó girda pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,,
7,passive,1,1,7,target,SBJ.N2 GO-INTR,GO-INTR SBJ.N2,kávler pif-murak,SBJ-V.INTR,,,,,,,,,,,,,,passive,GO-INTR-SBJ-N2.mp3,,SBJ-N2-GO-INTR.mp4,,
8,passive,1,1,8,target,OBJ.N5 SBJ.N1 PUSH-TR,SBJ.N1 OBJ.N5 PUSH-TR,pif-pekli fer-timó vánta,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,SBJ-N1-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N1-PUSH-TR.mp4,,
9,passive,1,1,9,target,SBJ.N1 JUMP-INTR,SBJ.N1 JUMP-INTR,pif-pekli bonip,SBJ-V.INTR,,,,,,,,,,,,,,passive,SBJ-N1-JUMP-INTR.mp3,,SBJ-N1-JUMP-INTR.mp4,,
10,passive,1,1,10,target,OBJ.N5 SBJ.N2 REVEAL-TR,SBJ.N2 REVEAL-TR OBJ.N5,pif-murak girda fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,SBJ-N2-REVEAL-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N2-REVEAL-TR.mp4,,
11,passive,1,1,11,target,OBJ.N5 SBJ.N2 HIDE-TR,SBJ.N2 HIDE-TR OBJ.N5,pif-murak zsübe fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,SBJ-N2-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N2-HIDE-TR.mp4,,
12,passive,1,1,12,target,SBJ.N2 JUMP-INTR,SBJ.N2 JUMP-INTR,pif-murak bonip,SBJ-V.INTR,,,,,,,,,,,,,,passive,SBJ-N2-JUMP-INTR.mp3,,SBJ-N2-JUMP-INTR.mp4,,
13,passive,1,1,13,target,SBJ.N5 HIDE-INTR,HIDE-INTR SBJ.N5,zsübe pif-timó,SBJ-V.INTR,,,,,,,,,,,,,,passive,HIDE-INTR-SBJ-N5.mp3,,SBJ-N5-HIDE-INTR.mp4,,
14,passive,1,1,14,target,OBJ.N5 SBJ.N3 REVEAL-TR,OBJ.N5 REVEAL-TR SBJ.N3,fer-timó girda pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,OBJ-N5-REVEAL-TR-SBJ-N3.mp3,,OBJ-N5-SBJ-N3-REVEAL-TR.mp4,,
15,passive,1,1,15,target,SBJ.N2 GO-INTR,GO-INTR SBJ.N2,kávler pif-murak,SBJ-V.INTR,,,,,,,,,,,,,,passive,GO-INTR-SBJ-N2.mp3,,SBJ-N2-GO-INTR.mp4,,
16,passive,1,1,16,target,OBJ.N5 SBJ.N2 PUSH-TR,SBJ.N2 OBJ.N5 PUSH-TR,pif-murak fer-timó vánta,OBJ-SBJ-V.TR,,,,,,,,,,,,,,passive,SBJ-N2-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N2-PUSH-TR.mp4,,
