trial_index,subtask,session,loop,trial_id_global,category,sentence,sentence_morph,sentence_form,sentence_frame,foil_sentence,foil_sentence_morph,foil_sentence_frame,foil_type,chunk_frequency_type,gj_grammatical,gj_error_type,held_out_probe_type,held_out_probe_instance,held_out_probe_instance_morph,correct_words,correct_words_form,distractor_words,all_words,all_words_form,previous_encounters,trial_type,audio_1,audio_2,video_1,video_2
1,passive,3,1,375,target,OBJ.N5 SBJ.N1 PUSH-TR Ab LOC.N2,SBJ.N1 Ab LOC.N2 OBJ.N5 PUSH-TR,pif-pekli zsot pa-murak fer-timó vánta,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N1-Ab-LOC-N2-OBJ-N5-PUSH-TR.mp3,,OBJ-N5-SBJ-N1-PUSH-TR-Ab-LOC-N2.mp4,
2,passive,3,1,376,target,Ab SBJ.N4 REVEAL-INTR LOC.N5,LOC.N5 Ab SBJ.N4 REVEAL-INTR,pa-timó zsot pif-dabi girda,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,LOC-N5-Ab-SBJ-N4-REVEAL-INTR.mp3,,Ab-SBJ-N4-REVEAL-INTR-LOC-N5.mp4,
3,passive,3,1,377,target,OBJ.N5 SBJ.N2 HIDE-TR Ab LOC.N4,Ab LOC.N4 OBJ.N5 HIDE-TR SBJ.N2,zsot pa-dabi fer-timó zsübe pif-murak,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,Ab-LOC-N4-OBJ-N5-HIDE-TR-SBJ-N2.mp3,,OBJ-N5-SBJ-N2-HIDE-TR-Ab-LOC-N4.mp4,
4,passive,3,1,378,target,Ab SBJ.N4 REVEAL-INTR Ab LOC.N5,Ab SBJ.N4 REVEAL-INTR Ab LOC.N5,zsot pif-dabi girda zsot pa-timó,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,Ab-SBJ-N4-REVEAL-INTR-Ab-LOC-N5.mp3,,Ab-SBJ-N4-REVEAL-INTR-Ab-LOC-N5.mp4,
5,passive,3,1,379,target,OBJ.N5 Ab SBJ.N4 REVEAL-TR Ab LOC.N1,REVEAL-TR OBJ.N5 Ab LOC.N1 Ab SBJ.N4,girda fer-timó zsot pa-pekli zsot pif-dabi,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,REVEAL-TR-OBJ-N5-Ab-LOC-N1-Ab-SBJ-N4.mp3,,OBJ-N5-Ab-SBJ-N4-REVEAL-TR-Ab-LOC-N1.mp4,
6,passive,3,1,380,target,SBJ.N3 REVEAL-INTR Ab LOC.N2,Ab LOC.N2 SBJ.N3 REVEAL-INTR,zsot pa-murak pif-zilép girda,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,Ab-LOC-N2-SBJ-N3-REVEAL-INTR.mp3,,SBJ-N3-REVEAL-INTR-Ab-LOC-N2.mp4,
7,passive,3,1,381,target,OBJ.N5 SBJ.N4 HIDE-TR Ab LOC.N2,SBJ.N4 HIDE-TR Ab LOC.N2 OBJ.N5,pif-dabi zsübe zsot pa-murak fer-timó,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,SBJ-N4-HIDE-TR-Ab-LOC-N2-OBJ-N5.mp3,,OBJ-N5-SBJ-N4-HIDE-TR-Ab-LOC-N2.mp4,
8,passive,3,1,382,target,Ab SBJ.N2 HIDE-INTR,HIDE-INTR Ab SBJ.N2,zsübe zsot pif-murak,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,HIDE-INTR-Ab-SBJ-N2.mp3,,Ab-SBJ-N2-HIDE-INTR.mp4,
9,passive,3,1,383,target,SBJ.N5 REVEAL-INTR Ab LOC.N4,REVEAL-INTR SBJ.N5 Ab LOC.N4,girda pif-timó zsot pa-dabi,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,REVEAL-INTR-SBJ-N5-Ab-LOC-N4.mp3,,SBJ-N5-REVEAL-INTR-Ab-LOC-N4.mp4,
10,passive,3,1,384,target,OBJ.N5 Ab SBJ.N1 PUSH-TR,PUSH-TR Ab SBJ.N1 OBJ.N5,vánta zsot pif-pekli fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,PUSH-TR-Ab-SBJ-N1-OBJ-N5.mp3,,OBJ-N5-Ab-SBJ-N1-PUSH-TR.mp4,
11,passive,3,1,385,target,SBJ.N5 REVEAL-INTR Ab LOC.N3,REVEAL-INTR Ab LOC.N3 SBJ.N5,girda zsot pa-zilép pif-timó,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,REVEAL-INTR-Ab-LOC-N3-SBJ-N5.mp3,,SBJ-N5-REVEAL-INTR-Ab-LOC-N3.mp4,
12,passive,3,1,386,target,OBJ.N5 Ab SBJ.N4 REVEAL-TR LOC.N3,Ab SBJ.N4 LOC.N3 OBJ.N5 REVEAL-TR,zsot pif-dabi pa-zilép fer-timó girda,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,Ab-SBJ-N4-LOC-N3-OBJ-N5-REVEAL-TR.mp3,,OBJ-N5-Ab-SBJ-N4-REVEAL-TR-LOC-N3.mp4,
13,passive,3,1,387,target,SBJ.N3 JUMP-INTR,JUMP-INTR SBJ.N3,bonip pif-zilép,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,JUMP-INTR-SBJ-N3.mp3,,SBJ-N3-JUMP-INTR.mp4,
14,passive,3,1,388,target,Ab OBJ.N5 Ab SBJ.N3 REVEAL-TR,Ab OBJ.N5 REVEAL-TR Ab SBJ.N3,zsot fer-timó girda zsot pif-zilép,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,Ab-OBJ-N5-REVEAL-TR-Ab-SBJ-N3.mp3,,Ab-OBJ-N5-Ab-SBJ-N3-REVEAL-TR.mp4,
15,passive,3,1,389,target,OBJ.N5 Ab SBJ.N4 PUSH-TR Ab LOC.N2,PUSH-TR Ab SBJ.N4 Ab LOC.N2 OBJ.N5,vánta zsot pif-dabi zsot pa-murak fer-timó,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,PUSH-TR-Ab-SBJ-N4-Ab-LOC-N2-OBJ-N5.mp3,,OBJ-N5-Ab-SBJ-N4-PUSH-TR-Ab-LOC-N2.mp4,
16,passive,3,1,390,target,Ab SBJ.N3 REVEAL-INTR LOC.N4,LOC.N4 REVEAL-INTR Ab SBJ.N3,pa-dabi girda zsot pif-zilép,SBJ-V.INTR-LOC,,,,,,,,,,,,,,,,,passive,LOC-N4-REVEAL-INTR-Ab-SBJ-N3.mp3,,Ab-SBJ-N3-REVEAL-INTR-LOC-N4.mp4,
17,passive,3,1,391,target,Ab SBJ.N2 GO-INTR,Ab SBJ.N2 GO-INTR,zsot pif-murak kávler,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,Ab-SBJ-N2-GO-INTR.mp3,,Ab-SBJ-N2-GO-INTR.mp4,
18,passive,3,1,392,target,OBJ.N5 SBJ.N2 HIDE-TR,SBJ.N2 HIDE-TR OBJ.N5,pif-murak zsübe fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,SBJ-N2-HIDE-TR-OBJ-N5.mp3,,OBJ-N5-SBJ-N2-HIDE-TR.mp4,
19,passive,3,1,393,target,Ab OBJ.N5 Ab SBJ.N1 REVEAL-TR,Ab OBJ.N5 REVEAL-TR Ab SBJ.N1,zsot fer-timó girda zsot pif-pekli,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,Ab-OBJ-N5-REVEAL-TR-Ab-SBJ-N1.mp3,,Ab-OBJ-N5-Ab-SBJ-N1-REVEAL-TR.mp4,
20,passive,3,1,394,target,OBJ.N5 Ab SBJ.N4 PUSH-TR LOC.N3,LOC.N3 OBJ.N5 PUSH-TR Ab SBJ.N4,pa-zilép fer-timó vánta zsot pif-dabi,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,LOC-N3-OBJ-N5-PUSH-TR-Ab-SBJ-N4.mp3,,OBJ-N5-Ab-SBJ-N4-PUSH-TR-LOC-N3.mp4,
21,passive,3,1,395,target,SBJ.N1 GO-INTR,SBJ.N1 GO-INTR,pif-pekli kávler,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,SBJ-N1-GO-INTR.mp3,,SBJ-N1-GO-INTR.mp4,
22,passive,3,1,396,target,Ab OBJ.N5 SBJ.N1 HIDE-TR,HIDE-TR SBJ.N1 Ab OBJ.N5,zsübe pif-pekli zsot fer-timó,OBJ-SBJ-V.TR,,,,,,,,,,,,,,,,,passive,HIDE-TR-SBJ-N1-Ab-OBJ-N5.mp3,,Ab-OBJ-N5-SBJ-N1-HIDE-TR.mp4,
23,passive,3,1,397,target,OBJ.N5 Ab SBJ.N3 HIDE-TR LOC.N4,OBJ.N5 HIDE-TR LOC.N4 Ab SBJ.N3,fer-timó zsübe pa-dabi zsot pif-zilép,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,OBJ-N5-HIDE-TR-LOC-N4-Ab-SBJ-N3.mp3,,OBJ-N5-Ab-SBJ-N3-HIDE-TR-LOC-N4.mp4,
24,passive,3,1,398,target,Ab SBJ.N2 HIDE-INTR,HIDE-INTR Ab SBJ.N2,zsübe zsot pif-murak,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,HIDE-INTR-Ab-SBJ-N2.mp3,,Ab-SBJ-N2-HIDE-INTR.mp4,
25,passive,3,1,399,target,Ab OBJ.N5 SBJ.N2 REVEAL-TR Ab LOC.N1,Ab LOC.N1 REVEAL-TR Ab OBJ.N5 SBJ.N2,zsot pa-pekli girda zsot fer-timó pif-murak,OBJ-SBJ-V.TR-LOC,,,,,,,,,,,,,,,,,passive,Ab-LOC-N1-REVEAL-TR-Ab-OBJ-N5-SBJ-N2.mp3,,Ab-OBJ-N5-SBJ-N2-REVEAL-TR-Ab-LOC-N1.mp4,
26,passive,3,1,400,target,Ab SBJ.N1 JUMP-INTR,JUMP-INTR Ab SBJ.N1,bonip zsot pif-pekli,SBJ-V.INTR,,,,,,,,,,,,,,,,,passive,JUMP-INTR-Ab-SBJ-N1.mp3,,Ab-SBJ-N1-JUMP-INTR.mp4,
