trial_id_global,difficulty,session,trial_type,sentence_frame,sentence
1,1,1,passive,SBJ-V.INTR,SBJ.N3 REVEAL-INTR
2,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 PUSH-TR
3,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 HIDE-TR
4,1,1,passive,SBJ-V.INTR,SBJ.N1 HIDE-INTR
5,1,1,passive,SBJ-V.INTR,SBJ.N2 REVEAL-INTR
6,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
7,1,1,passive,SBJ-V.INTR,SBJ.N2 GO-INTR
8,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 PUSH-TR
9,1,1,passive,SBJ-V.INTR,SBJ.N1 JUMP-INTR
10,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 REVEAL-TR
11,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 HIDE-TR
12,1,1,passive,SBJ-V.INTR,SBJ.N2 JUMP-INTR
13,1,1,passive,SBJ-V.INTR,SBJ.N5 HIDE-INTR
14,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N3 REVEAL-TR
15,1,1,passive,SBJ-V.INTR,SBJ.N2 GO-INTR
16,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N2 PUSH-TR
17,1,1,passive,SBJ-V.INTR,SBJ.N5 REVEAL-INTR
18,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N4 HIDE-TR
19,1,1,passive,SBJ-V.INTR,SBJ.N2 GO-INTR
20,1,1,passive,SBJ-V.INTR,SBJ.N1 REVEAL-INTR
21,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 REVEAL-TR
22,2,1,passive,OBJ-SBJ-V.TR,OBJ.N5 SBJ.N1 REVEAL-TR
23,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N2 PUSH-TR LOC.N1
24,2,1,passive,SBJ-V.INTR-LOC,SBJ.N4 REVEAL-INTR LOC.N3
25,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 HIDE-TR LOC.N2
26,2,1,passive,SBJ-V.INTR-LOC,SBJ.N4 REVEAL-INTR LOC.N3
27,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 REVEAL-TR LOC.N1
28,2,1,passive,SBJ-V.INTR-LOC,SBJ.N5 REVEAL-INTR LOC.N3
29,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 HIDE-TR LOC.N4
30,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N1 REVEAL-TR LOC.N2
31,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 PUSH-TR LOC.N2
32,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N4 HIDE-TR LOC.N1
33,2,1,passive,SBJ-V.INTR,Ab SBJ.N2 JUMP-INTR
34,3,1,passive,OBJ-SBJ-V.TR,OBJ.N5 Ab SBJ.N4 REVEAL-TR
35,3,1,passive,OBJ-SBJ-V.TR-LOC,OBJ.N5 SBJ.N3 PUSH-TR LOC.N1
36,2,1,passive,SBJ-V.INTR,Ab SBJ.N4 HIDE-INTR
37,2,1,passive,SBJ-V.INTR-LOC,SBJ.N4 HIDE-INTR LOC.N1
38,2,1,passive,SBJ-V.INTR-LOC,SBJ.N5 JUMP-INTR LOC.N2
